freq_MHz,T_fresh_h5um,T_deg_h5um,T_fresh_h15um,T_deg_h15um,T_fresh_h30um,T_deg_h30um,T_fresh_h50um,T_deg_h50um
15.000000,0.10087422,0.64928447,0.02286812,0.32886408,0.00223210,0.17628157,0.00010052,0.07126694
15.005003,0.10287117,0.65527017,0.02334085,0.33485053,0.00227724,0.18014752,0.00010250,0.07283284
15.010005,0.10494922,0.66130430,0.02383388,0.34103487,0.00232432,0.18417335,0.00010456,0.07446252
15.015008,0.10711323,0.66738404,0.02434850,0.34742486,0.00237345,0.18836769,0.00010672,0.07615921
15.020010,0.10936839,0.67350630,0.02488610,0.35402845,0.00242477,0.19273966,0.00010897,0.07792628
15.025013,0.11172036,0.67966772,0.02544821,0.36085378,0.00247842,0.19729884,0.00011132,0.07976722
15.030015,0.11417521,0.68586462,0.02603647,0.36790916,0.00253457,0.20205532,0.00011378,0.08168567
15.035018,0.11673956,0.69209300,0.02665269,0.37520298,0.00259338,0.20701966,0.00011636,0.08368533
15.040020,0.11942054,0.69834857,0.02729882,0.38274370,0.00265503,0.21220287,0.00011907,0.08577001
15.045023,0.12222592,0.70462666,0.02797701,0.39053977,0.00271974,0.21761640,0.00012191,0.08794354
15.050025,0.12516415,0.71092227,0.02868961,0.39859954,0.00278772,0.22327206,0.00012489,0.09020975
15.055028,0.12824440,0.71723006,0.02943918,0.40693118,0.00285921,0.22918195,0.00012803,0.09257240
15.060030,0.13147669,0.72354428,0.03022857,0.41554252,0.00293450,0.23535834,0.00013133,0.09503511
15.065033,0.13487195,0.72985882,0.03106088,0.42444094,0.00301385,0.24181354,0.00013481,0.09760125
15.070035,0.13844211,0.73616721,0.03193954,0.43363315,0.00309762,0.24855964,0.00013849,0.10027380
15.075038,0.14220024,0.74246255,0.03286833,0.44312501,0.00318614,0.25560829,0.00014237,0.10305523
15.080040,0.14616065,0.74873758,0.03385145,0.45292124,0.00327983,0.26297028,0.00014648,0.10594723
15.085043,0.15033906,0.75498463,0.03489354,0.46302516,0.00337910,0.27065516,0.00015084,0.10895054
15.090045,0.15475270,0.76119565,0.03599975,0.47343828,0.00348446,0.27867059,0.00015546,0.11206462
15.095048,0.15942054,0.76736219,0.03717582,0.48415993,0.00359645,0.28702163,0.00016037,0.11528728
15.100050,0.16436345,0.77347543,0.03842813,0.49518679,0.00371565,0.29570984,0.00016560,0.11861430
15.105053,0.16960442,0.77952620,0.03976379,0.50651231,0.00384275,0.30473221,0.00017118,0.12203892
15.110055,0.17516877,0.78550495,0.04119077,0.51812614,0.00397849,0.31407978,0.00017714,0.12555131
15.115058,0.18108442,0.79140182,0.04271794,0.53001342,0.00412371,0.32373611,0.00018351,0.12913797
15.120060,0.18738215,0.79720663,0.04435527,0.54215405,0.00427934,0.33367545,0.00019034,0.13278110
15.125063,0.19409585,0.80290892,0.04611389,0.55452185,0.00444643,0.34386074,0.00019767,0.13645797
15.130065,0.20126277,0.80849799,0.04800623,0.56708377,0.00462614,0.35424138,0.00020555,0.14014032
15.135068,0.20892382,0.81396291,0.05004622,0.57979894,0.00481976,0.36475097,0.00021404,0.14379395
15.140070,0.21712372,0.81929259,0.05224932,0.59261785,0.00502876,0.37530514,0.00022321,0.14737842
15.145073,0.22591112,0.82447582,0.05463271,0.60548157,0.00525472,0.38579979,0.00023312,0.15084719
15.150075,0.23533854,0.82950129,0.05721529,0.61832103,0.00549940,0.39610997,0.00024385,0.15414808
15.155078,0.24546205,0.83435769,0.06001761,0.63105660,0.00576471,0.40608994,0.00025548,0.15722442
15.160080,0.25634056,0.83903373,0.06306168,0.64359783,0.00605268,0.41557477,0.00026810,0.16001670
15.165083,0.26803451,0.84351822,0.06637040,0.65584374,0.00636543,0.42438406,0.00028181,0.16246498
15.170085,0.28060363,0.84780013,0.06996661,0.66768342,0.00670505,0.43232794,0.00029669,0.16451174
15.175088,0.29410337,0.85186867,0.07387135,0.67899738,0.00707346,0.43921555,0.00031283,0.16610524
15.180090,0.30857948,0.85571333,0.07810106,0.68965946,0.00747214,0.44486552,0.00033030,0.16720278
15.185093,0.32405997,0.85932397,0.08266321,0.69953949,0.00790173,0.44911774,0.00034910,0.16777381
15.190095,0.34054358,0.86269089,0.08754969,0.70850660,0.00836140,0.45184514,0.00036922,0.16780216
15.195098,0.35798387,0.86580490,0.09272754,0.71643322,0.00884805,0.45296391,0.00039051,0.16728739
15.200100,0.37626818,0.86865739,0.09812647,0.72319943,0.00935512,0.45244063,0.00041267,0.16624475
15.205103,0.39519152,0.87124036,0.10362431,0.72869759,0.00987131,0.45029515,0.00043522,0.16470400
15.210105,0.41442724,0.87354656,0.10903278,0.73283684,0.01037926,0.44659884,0.00045737,0.16270715
15.215108,0.43349903,0.87556947,0.11409000,0.73554721,0.01085484,0.44146829,0.00047808,0.16030548
15.220110,0.45176368,0.87730338,0.11846910,0.73678286,0.01126795,0.43505578,0.00049601,0.15755613
15.225113,0.46841834,0.87874348,0.12181274,0.73652439,0.01158550,0.42753771,0.00050972,0.15451891
15.230115,0.48254801,0.87988583,0.12379599,0.73477970,0.01177710,0.41910278,0.00051788,0.15125328
15.235118,0.49322326,0.88072744,0.12420341,0.73158364,0.01182206,0.40994110,0.00051959,0.14781603
15.240120,0.49964119,0.88126628,0.12298959,0.72699617,0.01171510,0.40023524,0.00051462,0.14425952
15.245123,0.50127785,0.88150130,0.12029282,0.72109951,0.01146792,0.39015367,0.00050350,0.14063055
15.250125,0.49800175,0.88143243,0.11639424,0.71399428,0.01110579,0.37984651,0.00048735,0.13696982
15.255128,0.49010378,0.88106061,0.11164439,0.70579512,0.01066101,0.36944349,0.00046759,0.13331186
15.260130,0.47823061,0.88038772,0.10639061,0.69662616,0.01016611,0.35905354,0.00044566,0.12968520
15.265133,0.46324974,0.87941664,0.10092835,0.68661646,0.00964919,0.34876565,0.00042278,0.12611287
15.270135,0.44609659,0.87815116,0.09548104,0.67589594,0.00913178,0.33865049,0.00039991,0.12261293
15.275138,0.42764849,0.87659596,0.09020122,0.66459180,0.00862880,0.32876249,0.00037769,0.11919913
15.280140,0.40864727,0.87475661,0.08518242,0.65282563,0.00814957,0.31914208,0.00035653,0.11588151
15.285143,0.38966929,0.87263945,0.08047403,0.64071118,0.00769913,0.30981790,0.00033665,0.11266702
15.290145,0.37112957,0.87025161,0.07609501,0.62835292,0.00727958,0.30080885,0.00031815,0.10956006
15.295148,0.35330441,0.86760090,0.07204462,0.61584504,0.00689105,0.29212594,0.00030101,0.10656296
15.300150,0.33636051,0.86469578,0.06831025,0.60327112,0.00653250,0.28377392,0.00028521,0.10367640
15.305153,0.32038323,0.86154525,0.06487284,0.59070419,0.00620222,0.27575263,0.00027065,0.10089974
15.310155,0.30540065,0.85815884,0.06171028,0.57820704,0.00589816,0.26805817,0.00025725,0.09823139
15.315158,0.29140244,0.85454649,0.05879967,0.56583286,0.00561820,0.26068381,0.00024491,0.09566895
15.320160,0.27835390,0.85071852,0.05611861,0.55362596,0.00536022,0.25362078,0.00023355,0.09320952
15.325163,0.26620596,0.84668554,0.05364588,0.54162261,0.00512222,0.24685889,0.00022307,0.09084979
15.330165,0.25490213,0.84245838,0.05136185,0.52985189,0.00490233,0.24038698,0.00021338,0.08858620
15.335168,0.24438309,0.83804802,0.04924860,0.51833654,0.00469885,0.23419334,0.00020442,0.08641502
15.340170,0.23458967,0.83346556,0.04728989,0.50709378,0.00451022,0.22826597,0.00019611,0.08433245
15.345173,0.22546472,0.82872211,0.04547111,0.49613607,0.00433504,0.22259284,0.00018840,0.08233471
15.350175,0.21695418,0.82382879,0.04377919,0.48547182,0.00417208,0.21716204,0.00018123,0.08041802
15.355178,0.20900760,0.81879661,0.04220240,0.47510600,0.00402019,0.21196188,0.00017454,0.07857867
15.360180,0.20157838,0.81363649,0.04073027,0.46504073,0.00387838,0.20698104,0.00016830,0.07681308
15.365183,0.19462375,0.80835917,0.03935344,0.45527572,0.00374574,0.20220858,0.00016246,0.07511776
15.370185,0.18810462,0.80297517,0.03806353,0.44580879,0.00362148,0.19763398,0.00015699,0.07348936
15.375188,0.18198540,0.79749480,0.03685307,0.43663615,0.00350486,0.19324722,0.00015186,0.07192466
15.380190,0.17623374,0.79192808,0.03571534,0.42775278,0.00339526,0.18903871,0.00014703,0.07042058
15.385193,0.17082027,0.78628471,0.03464431,0.41915267,0.00329208,0.18499936,0.00014249,0.06897419
15.390195,0.16571831,0.78057411,0.03363457,0.41082908,0.00319481,0.18112054,0.00013821,0.06758270
15.395198,0.16090368,0.77480532,0.03268126,0.40277468,0.00310297,0.17739408,0.00013417,0.06624345
15.400200,0.15635439,0.76898706,0.03177998,0.39498180,0.00301615,0.17381226,0.00013035,0.06495392
15.405203,0.15205050,0.76312766,0.03092677,0.38744246,0.00293396,0.17036776,0.00012673,0.06371172
15.410205,0.14797385,0.75723508,0.03011803,0.38014855,0.00285605,0.16705371,0.00012330,0.06251459
15.415208,0.14410794,0.75131690,0.02935050,0.37309191,0.00278212,0.16386359,0.00012005,0.06136038
15.420210,0.14043771,0.74538033,0.02862125,0.36626439,0.00271187,0.16079128,0.00011696,0.06024708
15.425213,0.13694944,0.73943219,0.02792757,0.35965790,0.00264505,0.15783098,0.00011402,0.05917275
15.430215,0.13363060,0.73347893,0.02726702,0.35326449,0.00258143,0.15497725,0.00011122,0.05813560
15.435218,0.13046972,0.72752661,0.02663737,0.34707635,0.00252078,0.15222495,0.00010855,0.05713389
15.440220,0.12745630,0.72158094,0.02603656,0.34108586,0.00246291,0.14956922,0.00010601,0.05616602
15.445223,0.12458073,0.71564727,0.02546273,0.33528561,0.00240764,0.14700551,0.00010358,0.05523044
15.450225,0.12183416,0.70973058,0.02491416,0.32966839,0.00235480,0.14452949,0.00010125,0.05432570
15.455228,0.11920848,0.70383555,0.02438926,0.32422726,0.00230425,0.14213710,0.00009903,0.05345044
15.460230,0.11669619,0.69796648,0.02388660,0.31895548,0.00225583,0.13982451,0.00009690,0.05260335
