h2_um,eta2_Pas,T_abs
1.0000,0.100000,0.04268676
1.4949,0.100000,0.02777100
1.9899,0.100000,0.01924798
2.4848,0.100000,0.01333450
2.9798,0.100000,0.00909015
3.4747,0.100000,0.00612995
3.9697,0.100000,0.00411941
4.4646,0.100000,0.00276843
4.9596,0.100000,0.00186188
5.4545,0.100000,0.00125276
5.9495,0.100000,0.00084304
6.4444,0.100000,0.00056731
6.9394,0.100000,0.00038176
7.4343,0.100000,0.00025688
7.9293,0.100000,0.00017286
8.4242,0.100000,0.00011632
8.9192,0.100000,0.00007827
9.4141,0.100000,0.00005267
9.9091,0.100000,0.00003544
10.4040,0.100000,0.00002385
10.8990,0.100000,0.00001605
11.3939,0.100000,0.00001080
11.8889,0.100000,0.00000727
12.3838,0.100000,0.00000489
12.8788,0.100000,0.00000329
13.3737,0.100000,0.00000221
13.8687,0.100000,0.00000149
14.3636,0.100000,0.00000100
14.8586,0.100000,0.00000067
15.3535,0.100000,0.00000045
15.8485,0.100000,0.00000031
16.3434,0.100000,0.00000021
16.8384,0.100000,0.00000014
17.3333,0.100000,0.00000009
17.8283,0.100000,0.00000006
18.3232,0.100000,0.00000004
18.8182,0.100000,0.00000003
19.3131,0.100000,0.00000002
19.8081,0.100000,0.00000001
20.3030,0.100000,0.00000001
20.7980,0.100000,0.00000001
21.2929,0.100000,0.00000000
21.7879,0.100000,0.00000000
22.2828,0.100000,0.00000000
22.7778,0.100000,0.00000000
23.2727,0.100000,0.00000000
23.7677,0.100000,0.00000000
24.2626,0.100000,0.00000000
24.7576,0.100000,0.00000000
25.2525,0.100000,0.00000000
25.7475,0.100000,0.00000000
26.2424,0.100000,0.00000000
26.7374,0.100000,0.00000000
27.2323,0.100000,0.00000000
27.7273,0.100000,0.00000000
28.2222,0.100000,0.00000000
28.7172,0.100000,0.00000000
29.2121,0.100000,0.00000000
29.7071,0.100000,0.00000000
30.2020,0.100000,0.00000000
30.6970,0.100000,0.00000000
31.1919,0.100000,0.00000000
31.6869,0.100000,0.00000000
32.1818,0.100000,0.00000000
32.6768,0.100000,0.00000000
33.1717,0.100000,0.00000000
33.6667,0.100000,0.00000000
34.1616,0.100000,0.00000000
34.6566,0.100000,0.00000000
35.1515,0.100000,0.00000000
35.6465,0.100000,0.00000000
36.1414,0.100000,0.00000000
36.6364,0.100000,0.00000000
37.1313,0.100000,0.00000000
37.6263,0.100000,0.00000000
38.1212,0.100000,0.00000000
38.6162,0.100000,0.00000000
39.1111,0.100000,0.00000000
39.6061,0.100000,0.00000000
40.1010,0.100000,0.00000000
40.5960,0.100000,0.00000000
41.0909,0.100000,0.00000000
41.5859,0.100000,0.00000000
42.0808,0.100000,0.00000000
42.5758,0.100000,0.00000000
43.0707,0.100000,0.00000000
43.5657,0.100000,0.00000000
44.0606,0.100000,0.00000000
44.5556,0.100000,0.00000000
45.0505,0.100000,0.00000000
45.5455,0.100000,0.00000000
46.0404,0.100000,0.00000000
46.5354,0.100000,0.00000000
47.0303,0.100000,0.00000000
47.5253,0.100000,0.00000000
48.0202,0.100000,0.00000000
48.5152,0.100000,0.00000000
49.0101,0.100000,0.00000000
49.5051,0.100000,0.00000000
50.0000,0.100000,0.00000000
1.0000,0.107227,0.04579106
1.4949,0.107227,0.02993183
1.9899,0.107227,0.02095440
2.4848,0.107227,0.01472987
2.9798,0.107227,0.01020297
3.4747,0.107227,0.00698504
3.9697,0.107227,0.00476016
4.4646,0.107227,0.00324237
4.9596,0.107227,0.00220999
5.4545,0.107227,0.00150714
5.9495,0.107227,0.00102806
6.4444,0.107227,0.00070128
6.9394,0.107227,0.00047836
7.4343,0.107227,0.00032629
7.9293,0.107227,0.00022257
8.4242,0.107227,0.00015181
8.9192,0.107227,0.00010355
9.4141,0.107227,0.00007063
9.9091,0.107227,0.00004818
10.4040,0.107227,0.00003286
10.8990,0.107227,0.00002242
11.3939,0.107227,0.00001529
11.8889,0.107227,0.00001043
12.3838,0.107227,0.00000711
12.8788,0.107227,0.00000485
13.3737,0.107227,0.00000331
13.8687,0.107227,0.00000226
14.3636,0.107227,0.00000154
14.8586,0.107227,0.00000105
15.3535,0.107227,0.00000072
15.8485,0.107227,0.00000049
16.3434,0.107227,0.00000033
16.8384,0.107227,0.00000023
17.3333,0.107227,0.00000016
17.8283,0.107227,0.00000011
18.3232,0.107227,0.00000007
18.8182,0.107227,0.00000005
19.3131,0.107227,0.00000003
19.8081,0.107227,0.00000002
20.3030,0.107227,0.00000002
20.7980,0.107227,0.00000001
21.2929,0.107227,0.00000001
21.7879,0.107227,0.00000000
22.2828,0.107227,0.00000000
22.7778,0.107227,0.00000000
23.2727,0.107227,0.00000000
23.7677,0.107227,0.00000000
24.2626,0.107227,0.00000000
24.7576,0.107227,0.00000000
25.2525,0.107227,0.00000000
25.7475,0.107227,0.00000000
26.2424,0.107227,0.00000000
26.7374,0.107227,0.00000000
27.2323,0.107227,0.00000000
27.7273,0.107227,0.00000000
28.2222,0.107227,0.00000000
28.7172,0.107227,0.00000000
29.2121,0.107227,0.00000000
29.7071,0.107227,0.00000000
30.2020,0.107227,0.00000000
30.6970,0.107227,0.00000000
31.1919,0.107227,0.00000000
31.6869,0.107227,0.00000000
32.1818,0.107227,0.00000000
32.6768,0.107227,0.00000000
33.1717,0.107227,0.00000000
33.6667,0.107227,0.00000000
34.1616,0.107227,0.00000000
34.6566,0.107227,0.00000000
35.1515,0.107227,0.00000000
35.6465,0.107227,0.00000000
36.1414,0.107227,0.00000000
36.6364,0.107227,0.00000000
37.1313,0.107227,0.00000000
37.6263,0.107227,0.00000000
38.1212,0.107227,0.00000000
38.6162,0.107227,0.00000000
39.1111,0.107227,0.00000000
39.6061,0.107227,0.00000000
40.1010,0.107227,0.00000000
40.5960,0.107227,0.00000000
41.0909,0.107227,0.00000000
41.5859,0.107227,0.00000000
42.0808,0.107227,0.00000000
42.5758,0.107227,0.00000000
43.0707,0.107227,0.00000000
43.5657,0.107227,0.00000000
44.0606,0.107227,0.00000000
44.5556,0.107227,0.00000000
45.0505,0.107227,0.00000000
45.5455,0.107227,0.00000000
46.0404,0.107227,0.00000000
46.5354,0.107227,0.00000000
47.0303,0.107227,0.00000000
47.5253,0.107227,0.00000000
48.0202,0.107227,0.00000000
48.5152,0.107227,0.00000000
49.0101,0.107227,0.00000000
49.5051,0.107227,0.00000000
50.0000,0.107227,0.00000000
1.0000,0.114976,0.04911077
1.4949,0.114976,0.03223736
1.9899,0.114976,0.02277319
2.4848,0.114976,0.01622753
2.9798,0.114976,0.01141489
3.4747,0.114976,0.00793160
3.9697,0.114976,0.00547999
4.4646,0.114976,0.00378182
4.9596,0.114976,0.00261118
5.4545,0.114976,0.00180398
5.9495,0.114976,0.00124671
6.4444,0.114976,0.00086166
6.9394,0.114976,0.00059553
7.4343,0.114976,0.00041158
7.9293,0.114976,0.00028444
8.4242,0.114976,0.00019658
8.9192,0.114976,0.00013586
9.4141,0.114976,0.00009389
9.9091,0.114976,0.00006489
10.4040,0.114976,0.00004484
10.8990,0.114976,0.00003099
11.3939,0.114976,0.00002142
11.8889,0.114976,0.00001480
12.3838,0.114976,0.00001023
12.8788,0.114976,0.00000707
13.3737,0.114976,0.00000489
13.8687,0.114976,0.00000338
14.3636,0.114976,0.00000233
14.8586,0.114976,0.00000161
15.3535,0.114976,0.00000111
15.8485,0.114976,0.00000077
16.3434,0.114976,0.00000053
16.8384,0.114976,0.00000037
17.3333,0.114976,0.00000025
17.8283,0.114976,0.00000018
18.3232,0.114976,0.00000012
18.8182,0.114976,0.00000008
19.3131,0.114976,0.00000006
19.8081,0.114976,0.00000004
20.3030,0.114976,0.00000003
20.7980,0.114976,0.00000002
21.2929,0.114976,0.00000001
21.7879,0.114976,0.00000001
22.2828,0.114976,0.00000001
22.7778,0.114976,0.00000000
23.2727,0.114976,0.00000000
23.7677,0.114976,0.00000000
24.2626,0.114976,0.00000000
24.7576,0.114976,0.00000000
25.2525,0.114976,0.00000000
25.7475,0.114976,0.00000000
26.2424,0.114976,0.00000000
26.7374,0.114976,0.00000000
27.2323,0.114976,0.00000000
27.7273,0.114976,0.00000000
28.2222,0.114976,0.00000000
28.7172,0.114976,0.00000000
29.2121,0.114976,0.00000000
29.7071,0.114976,0.00000000
30.2020,0.114976,0.00000000
30.6970,0.114976,0.00000000
31.1919,0.114976,0.00000000
31.6869,0.114976,0.00000000
32.1818,0.114976,0.00000000
32.6768,0.114976,0.00000000
33.1717,0.114976,0.00000000
33.6667,0.114976,0.00000000
34.1616,0.114976,0.00000000
34.6566,0.114976,0.00000000
35.1515,0.114976,0.00000000
35.6465,0.114976,0.00000000
36.1414,0.114976,0.00000000
36.6364,0.114976,0.00000000
37.1313,0.114976,0.00000000
37.6263,0.114976,0.00000000
38.1212,0.114976,0.00000000
38.6162,0.114976,0.00000000
39.1111,0.114976,0.00000000
39.6061,0.114976,0.00000000
40.1010,0.114976,0.00000000
40.5960,0.114976,0.00000000
41.0909,0.114976,0.00000000
41.5859,0.114976,0.00000000
42.0808,0.114976,0.00000000
42.5758,0.114976,0.00000000
43.0707,0.114976,0.00000000
43.5657,0.114976,0.00000000
44.0606,0.114976,0.00000000
44.5556,0.114976,0.00000000
45.0505,0.114976,0.00000000
45.5455,0.114976,0.00000000
46.0404,0.114976,0.00000000
46.5354,0.114976,0.00000000
47.0303,0.114976,0.00000000
47.5253,0.114976,0.00000000
48.0202,0.114976,0.00000000
48.5152,0.114976,0.00000000
49.0101,0.114976,0.00000000
49.5051,0.114976,0.00000000
50.0000,0.114976,0.00000000
1.0000,0.123285,0.05266082
1.4949,0.123285,0.03469791
1.9899,0.123285,0.02471128
2.4848,0.123285,0.01783195
2.9798,0.123285,0.01273037
3.4747,0.123285,0.00897543
3.9697,0.123285,0.00628556
4.4646,0.123285,0.00439346
4.9596,0.123285,0.00307159
5.4545,0.123285,0.00214875
5.9495,0.123285,0.00150377
6.4444,0.123285,0.00105255
6.9394,0.123285,0.00073673
7.4343,0.123285,0.00051567
7.9293,0.123285,0.00036092
8.4242,0.123285,0.00025261
8.9192,0.123285,0.00017681
9.4141,0.123285,0.00012375
9.9091,0.123285,0.00008661
10.4040,0.123285,0.00006062
10.8990,0.123285,0.00004243
11.3939,0.123285,0.00002970
11.8889,0.123285,0.00002079
12.3838,0.123285,0.00001455
12.8788,0.123285,0.00001018
13.3737,0.123285,0.00000713
13.8687,0.123285,0.00000499
14.3636,0.123285,0.00000349
14.8586,0.123285,0.00000244
15.3535,0.123285,0.00000171
15.8485,0.123285,0.00000120
16.3434,0.123285,0.00000084
16.8384,0.123285,0.00000059
17.3333,0.123285,0.00000041
17.8283,0.123285,0.00000029
18.3232,0.123285,0.00000020
18.8182,0.123285,0.00000014
19.3131,0.123285,0.00000010
19.8081,0.123285,0.00000007
20.3030,0.123285,0.00000005
20.7980,0.123285,0.00000003
21.2929,0.123285,0.00000002
21.7879,0.123285,0.00000002
22.2828,0.123285,0.00000001
22.7778,0.123285,0.00000001
23.2727,0.123285,0.00000001
23.7677,0.123285,0.00000000
24.2626,0.123285,0.00000000
24.7576,0.123285,0.00000000
25.2525,0.123285,0.00000000
25.7475,0.123285,0.00000000
26.2424,0.123285,0.00000000
26.7374,0.123285,0.00000000
27.2323,0.123285,0.00000000
27.7273,0.123285,0.00000000
28.2222,0.123285,0.00000000
28.7172,0.123285,0.00000000
29.2121,0.123285,0.00000000
29.7071,0.123285,0.00000000
30.2020,0.123285,0.00000000
30.6970,0.123285,0.00000000
31.1919,0.123285,0.00000000
31.6869,0.123285,0.00000000
32.1818,0.123285,0.00000000
32.6768,0.123285,0.00000000
33.1717,0.123285,0.00000000
33.6667,0.123285,0.00000000
34.1616,0.123285,0.00000000
34.6566,0.123285,0.00000000
35.1515,0.123285,0.00000000
35.6465,0.123285,0.00000000
36.1414,0.123285,0.00000000
36.6364,0.123285,0.00000000
37.1313,0.123285,0.00000000
37.6263,0.123285,0.00000000
38.1212,0.123285,0.00000000
38.6162,0.123285,0.00000000
39.1111,0.123285,0.00000000
39.6061,0.123285,0.00000000
40.1010,0.123285,0.00000000
40.5960,0.123285,0.00000000
41.0909,0.123285,0.00000000
41.5859,0.123285,0.00000000
42.0808,0.123285,0.00000000
42.5758,0.123285,0.00000000
43.0707,0.123285,0.00000000
43.5657,0.123285,0.00000000
44.0606,0.123285,0.00000000
44.5556,0.123285,0.00000000
45.0505,0.123285,0.00000000
45.5455,0.123285,0.00000000
46.0404,0.123285,0.00000000
46.5354,0.123285,0.00000000
47.0303,0.123285,0.00000000
47.5253,0.123285,0.00000000
48.0202,0.123285,0.00000000
48.5152,0.123285,0.00000000
49.0101,0.123285,0.00000000
49.5051,0.123285,0.00000000
50.0000,0.123285,0.00000000
1.0000,0.132194,0.05645712
1.4949,0.132194,0.03732453
1.9899,0.132194,0.02677629
2.4848,0.132194,0.01954803
2.9798,0.132194,0.01415381
