h2_um,E2_Pa,T_abs
1.0000,100.00,0.67451340
1.4949,100.00,0.49611392
1.9899,100.00,0.39128122
2.4848,100.00,0.32287067
2.9798,100.00,0.27481059
3.4747,100.00,0.23916717
3.9697,100.00,0.21160448
4.4646,100.00,0.18956072
4.9596,100.00,0.17142763
5.4545,100.00,0.15614637
5.9495,100.00,0.14299345
6.4444,100.00,0.13146064
6.9394,100.00,0.12118403
7.4343,100.00,0.11190025
7.9293,100.00,0.10341822
8.4242,100.00,0.09560001
8.9192,100.00,0.08834709
9.4141,100.00,0.08159008
9.9091,100.00,0.07528069
10.4040,100.00,0.06938532
10.8990,100.00,0.06387999
11.3939,100.00,0.05874646
11.8889,100.00,0.05396939
12.3838,100.00,0.04953442
12.8788,100.00,0.04542697
13.3737,100.00,0.04163176
13.8687,100.00,0.03813259
14.3636,100.00,0.03491250
14.8586,100.00,0.03195405
15.3535,100.00,0.02923961
15.8485,100.00,0.02675173
16.3434,100.00,0.02447337
16.8384,100.00,0.02238816
17.3333,100.00,0.02048054
17.8283,100.00,0.01873586
18.3232,100.00,0.01714046
18.8182,100.00,0.01568166
19.3131,100.00,0.01434775
19.8081,100.00,0.01312800
20.3030,100.00,0.01201253
20.7980,100.00,0.01099233
21.2929,100.00,0.01005918
21.7879,100.00,0.00920555
22.2828,100.00,0.00842460
22.7778,100.00,0.00771007
23.2727,100.00,0.00705626
23.7677,100.00,0.00645797
24.2626,100.00,0.00591047
24.7576,100.00,0.00540941
25.2525,100.00,0.00495084
25.7475,100.00,0.00453115
26.2424,100.00,0.00414704
26.7374,100.00,0.00379549
27.2323,100.00,0.00347373
27.7273,100.00,0.00317925
28.2222,100.00,0.00290972
28.7172,100.00,0.00266303
29.2121,100.00,0.00243726
29.7071,100.00,0.00223062
30.2020,100.00,0.00204150
30.6970,100.00,0.00186841
31.1919,100.00,0.00170999
31.6869,100.00,0.00156500
32.1818,100.00,0.00143231
32.6768,100.00,0.00131086
33.1717,100.00,0.00119972
33.6667,100.00,0.00109799
34.1616,100.00,0.00100490
34.6566,100.00,0.00091969
35.1515,100.00,0.00084171
35.6465,100.00,0.00077034
36.1414,100.00,0.00070503
36.6364,100.00,0.00064525
37.1313,100.00,0.00059054
37.6263,100.00,0.00054047
38.1212,100.00,0.00049464
38.6162,100.00,0.00045270
39.1111,100.00,0.00041432
39.6061,100.00,0.00037919
40.1010,100.00,0.00034704
40.5960,100.00,0.00031761
41.0909,100.00,0.00029068
41.5859,100.00,0.00026603
42.0808,100.00,0.00024348
42.5758,100.00,0.00022283
43.0707,100.00,0.00020394
43.5657,100.00,0.00018665
44.0606,100.00,0.00017082
44.5556,100.00,0.00015634
45.0505,100.00,0.00014308
45.5455,100.00,0.00013095
46.0404,100.00,0.00011985
46.5354,100.00,0.00010969
47.0303,100.00,0.00010039
47.5253,100.00,0.00009187
48.0202,100.00,0.00008408
48.5152,100.00,0.00007696
49.0101,100.00,0.00007043
49.5051,100.00,0.00006446
50.0000,100.00,0.00005899
1.0000,109.75,0.67451340
1.4949,109.75,0.49611392
1.9899,109.75,0.39128121
2.4848,109.75,0.32287067
2.9798,109.75,0.27481059
3.4747,109.75,0.23916717
3.9697,109.75,0.21160448
4.4646,109.75,0.18956072
4.9596,109.75,0.17142763
5.4545,109.75,0.15614637
5.9495,109.75,0.14299345
6.4444,109.75,0.13146064
6.9394,109.75,0.12118403
