progress,E2_kPa,eta2_Pas,h2_um,T_abs,phase_deg,node_shift_um
0.000000,5.000,2.000,20.000,0.01268403,0.0000,0.0000
0.005025,5.477,2.241,19.925,0.01662398,11.6407,1.1988
0.010050,5.955,2.482,19.849,0.02100218,21.5472,2.2191
0.015075,6.432,2.724,19.774,0.02578166,30.1195,3.1019
0.020101,6.910,2.965,19.698,0.03092692,37.6393,3.8763
0.025126,7.387,3.206,19.623,0.03640398,44.3115,4.5635
0.030151,7.864,3.447,19.548,0.04218040,50.2879,5.1790
0.035176,8.342,3.688,19.472,0.04822541,55.6840,5.7347
0.040201,8.819,3.930,19.397,0.05451000,60.5890,6.2398
0.045226,9.296,4.171,19.322,0.06100705,65.0730,6.7016
0.050251,9.774,4.412,19.246,0.06769136,69.1921,7.1258
0.055276,10.251,4.653,19.171,0.07453974,72.9916,7.5171
0.060302,10.729,4.894,19.095,0.08153098,76.5089,7.8794
0.065327,11.206,5.136,19.020,0.08864585,79.7749,8.2157
0.070352,11.683,5.377,18.945,0.09586703,82.8157,8.5289
0.075377,12.161,5.618,18.869,0.10317901,85.6534,8.8211
0.080402,12.638,5.859,18.794,0.11056799,88.3070,9.0944
0.085427,13.116,6.101,18.719,0.11802177,90.7929,9.3504
0.090452,13.593,6.342,18.643,0.12552965,93.1254,9.5906
0.095477,14.070,6.583,18.568,0.13308223,95.3172,9.8164
0.100503,14.548,6.824,18.492,0.14067138,97.3795,10.0287
0.105528,15.025,7.065,18.417,0.14829003,99.3221,10.2288
0.110553,15.503,7.307,18.342,0.15593212,101.1540,10.4175
0.115578,15.980,7.548,18.266,0.16359243,102.8831,10.5955
0.120603,16.457,7.789,18.191,0.17126655,104.5166,10.7638
0.125628,16.935,8.030,18.116,0.17895072,106.0611,10.9228
0.130653,17.412,8.271,18.040,0.18664179,107.5225,11.0733
0.135678,17.889,8.513,17.965,0.19433713,108.9062,11.2158
0.140704,18.367,8.754,17.889,0.20203455,110.2172,11.3508
0.145729,18.844,8.995,17.814,0.20973226,111.4601,11.4788
0.150754,19.322,9.236,17.739,0.21742881,112.6389,11.6002
0.155779,19.799,9.477,17.663,0.22512303,113.7576,11.7154
0.160804,20.276,9.719,17.588,0.23281400,114.8196,11.8248
0.165829,20.754,9.960,17.513,0.24050102,115.8284,11.9287
0.170854,21.231,10.201,17.437,0.24818357,116.7868,12.0274
0.175879,21.709,10.442,17.362,0.25586126,117.6977,12.1212
0.180905,22.186,10.683,17.286,0.26353386,118.5638,12.2104
0.185930,22.663,10.925,17.211,0.27120123,119.3874,12.2952
0.190955,23.141,11.166,17.136,0.27886331,120.1708,12.3759
0.195980,23.618,11.407,17.060,0.28652013,120.9161,12.4527
0.201005,24.095,11.648,16.985,0.29417178,121.6253,12.5257
0.206030,24.573,11.889,16.910,0.30181839,122.3002,12.5952
0.211055,25.050,12.131,16.834,0.30946013,122.9426,12.6614
0.216080,25.528,12.372,16.759,0.31709719,123.5539,12.7243
0.221106,26.005,12.613,16.683,0.32472981,124.1358,12.7843
0.226131,26.482,12.854,16.608,0.33235822,124.6896,12.8413
0.231156,26.960,13.095,16.533,0.33998268,125.2167,12.8956
0.236181,27.437,13.337,16.457,0.34760344,125.7183,12.9472
0.241206,27.915,13.578,16.382,0.35522076,126.1955,12.9964
0.246231,28.392,13.819,16.307,0.36283490,126.6495,13.0431
0.251256,28.869,14.060,16.231,0.37044612,127.0813,13.0876
0.256281,29.347,14.302,16.156,0.37805468,127.4919,13.1299
0.261307,29.824,14.543,16.080,0.38566082,127.8822,13.1701
0.266332,30.302,14.784,16.005,0.39326477,128.2530,13.2083
0.271357,30.779,15.025,15.930,0.40086677,128.6052,13.2445
0.276382,31.256,15.266,15.854,0.40846704,128.9395,13.2790
0.281407,31.734,15.508,15.779,0.41606577,129.2567,13.3116
0.286432,32.211,15.749,15.704,0.42366317,129.5575,13.3426
0.291457,32.688,15.990,15.628,0.43125942,129.8425,13.3720
0.296482,33.166,16.231,15.553,0.43885468,130.1124,13.3998
0.301508,33.643,16.472,15.477,0.44644911,130.3677,13.4261
0.306533,34.121,16.714,15.402,0.45404287,130.6090,13.4509
0.311558,34.598,16.955,15.327,0.46163606,130.8368,13.4744
0.316583,35.075,17.196,15.251,0.46922883,131.0516,13.4965
0.321608,35.553,17.437,15.176,0.47682126,131.2539,13.5173
0.326633,36.030,17.678,15.101,0.48441345,131.4442,13.5369
0.331658,36.508,17.920,15.025,0.49200548,131.6229,13.5553
0.336683,36.985,18.161,14.950,0.49959742,131.7904,13.5726
0.341709,37.462,18.402,14.874,0.50718932,131.9471,13.5887
0.346734,37.940,18.643,14.799,0.51478121,132.0933,13.6038
0.351759,38.417,18.884,14.724,0.52237313,132.2295,13.6178
0.356784,38.894,19.126,14.648,0.52996511,132.3559,13.6308
0.361809,39.372,19.367,14.573,0.53755713,132.4729,13.6429
0.366834,39.849,19.608,14.497,0.54514920,132.5809,13.6540
0.371859,40.327,19.849,14.422,0.55274130,132.6800,13.6642
0.376884,40.804,20.090,14.347,0.56033341,132.7706,13.6735
0.381910,41.281,20.332,14.271,0.56792548,132.8530,13.6820
0.386935,41.759,20.573,14.196,0.57551747,132.9273,13.6897
0.391960,42.236,20.814,14.121,0.58310932,132.9940,13.6965
0.396985,42.714,21.055,14.045,0.59070095,133.0531,13.7026
0.402010,43.191,21.296,13.970,0.59829231,133.1049,13.7080
0.407035,43.668,21.538,13.894,0.60588328,133.1497,13.7126
0.412060,44.146,21.779,13.819,0.61347379,133.1877,13.7165
0.417085,44.623,22.020,13.744,0.62106372,133.2190,13.7197
0.422111,45.101,22.261,13.668,0.62865296,133.2438,13.7223
0.427136,45.578,22.503,13.593,0.63624139,133.2624,13.7242
0.432161,46.055,22.744,13.518,0.64382888,133.2749,13.7255
0.437186,46.533,22.985,13.442,0.65141528,133.2814,13.7261
0.442211,47.010,23.226,13.367,0.65900046,133.2823,13.7262
0.447236,47.487,23.467,13.291,0.66658425,133.2775,13.7257
0.452261,47.965,23.709,13.216,0.67416650,133.2673,13.7247
0.457286,48.442,23.950,13.141,0.68174703,133.2518,13.7231
0.462312,48.920,24.191,13.065,0.68932568,133.2311,13.7210
0.467337,49.397,24.432,12.990,0.69690225,133.2054,13.7183
0.472362,49.874,24.673,12.915,0.70447655,133.1748,13.7152
0.477387,50.352,24.915,12.839,0.71204840,133.1395,13.7115
0.482412,50.829,25.156,12.764,0.71961758,133.0996,13.7074
0.487437,51.307,25.397,12.688,0.72718389,133.0551,13.7028
0.492462,51.784,25.638,12.613,0.73474711,133.0062,13.6978
0.497487,52.261,25.879,12.538,0.74230702,132.9530,13.6923
0.502513,52.739,26.121,12.462,0.74986339,132.8956,13.6864
0.507538,53.216,26.362,12.387,0.75741600,132.8342,13.6801
0.512563,53.693,26.603,12.312,0.76496459,132.7687,13.6733
0.517588,54.171,26.844,12.236,0.77250893,132.6994,13.6662
0.522613,54.648,27.085,12.161,0.78004878,132.6263,13.6587
0.527638,55.126,27.327,12.085,0.78758386,132.5494,13.6508
0.532663,55.603,27.568,12.010,0.79511394,132.4690,13.6425
0.537688,56.080,27.809,11.935,0.80263873,132.3850,13.6338
0.542714,56.558,28.050,11.859,0.81015798,132.2976,13.6248
0.547739,57.035,28.291,11.784,0.81767141,132.2067,13.6155
0.552764,57.513,28.533,11.709,0.82517875,132.1126,13.6058
0.557789,57.990,28.774,11.633,0.83267970,132.0153,13.5957
0.562814,58.467,29.015,11.558,0.84017399,131.9148,13.5854
0.567839,58.945,29.256,11.482,0.84766133,131.8113,13.5747
0.572864,59.422,29.497,11.407,0.85514142,131.7047,13.5638
0.577889,59.899,29.739,11.332,0.86261396,131.5952,13.5525
0.582915,60.377,29.980,11.256,0.87007866,131.4828,13.5409
0.587940,60.854,30.221,11.181,0.87753520,131.3676,13.5290
0.592965,61.332,30.462,11.106,0.88498328,131.2496,13.5169
0.597990,61.809,30.704,11.030,0.89242260,131.1290,13.5045
