freq_MHz,T_t0,T_t1,T_t2,T_t3,T_t4,T_t5
17.000000,0.00367016,0.02755655,0.05818917,0.09446254,0.13995530,0.20008576
17.004003,0.00368230,0.02765610,0.05840269,0.09480639,0.14045563,0.20078143
17.008005,0.00369462,0.02775698,0.05861905,0.09515477,0.14096247,0.20148601
17.012008,0.00370711,0.02785921,0.05883828,0.09550774,0.14147592,0.20219963
17.016011,0.00371976,0.02796281,0.05906041,0.09586535,0.14199606,0.20292239
17.020013,0.00373260,0.02806779,0.05928550,0.09622768,0.14252299,0.20365441
17.024016,0.00374561,0.02817419,0.05951358,0.09659479,0.14305680,0.20439582
17.028019,0.00375879,0.02828201,0.05974469,0.09696675,0.14359757,0.20514673
17.032021,0.00377216,0.02839127,0.05997888,0.09734362,0.14414541,0.20590727
17.036024,0.00378572,0.02850201,0.06021620,0.09772547,0.14470041,0.20667757
17.040027,0.00379945,0.02861423,0.06045668,0.09811238,0.14526267,0.20745775
17.044029,0.00381338,0.02872796,0.06070037,0.09850442,0.14583230,0.20824796
17.048032,0.00382750,0.02884323,0.06094732,0.09890166,0.14640939,0.20904831
17.052035,0.00384182,0.02896005,0.06119758,0.09930418,0.14699406,0.20985896
17.056037,0.00385633,0.02907845,0.06145120,0.09971205,0.14758640,0.21068004
17.060040,0.00387105,0.02919846,0.06170823,0.10012536,0.14818654,0.21151169
17.064043,0.00388596,0.02932009,0.06196872,0.10054418,0.14879458,0.21235407
17.068045,0.00390108,0.02944337,0.06223272,0.10096860,0.14941064,0.21320731
17.072048,0.00391642,0.02956833,0.06250028,0.10139870,0.15003483,0.21407158
17.076051,0.00393196,0.02969499,0.06277147,0.10183457,0.15066728,0.21494702
17.080053,0.00394772,0.02982338,0.06304633,0.10227629,0.15130811,0.21583379
17.084056,0.00396370,0.02995352,0.06332493,0.10272396,0.15195744,0.21673206
17.088059,0.00397990,0.03008545,0.06360732,0.10317767,0.15261541,0.21764199
17.092061,0.00399633,0.03021920,0.06389356,0.10363751,0.15328213,0.21856375
17.096064,0.00401299,0.03035478,0.06418372,0.10410358,0.15395775,0.21949750
17.100067,0.00402988,0.03049223,0.06447786,0.10457598,0.15464240,0.22044343
17.104069,0.00404700,0.03063159,0.06477603,0.10505480,0.15533622,0.22140172
17.108072,0.00406437,0.03077287,0.06507832,0.10554015,0.15603935,0.22237254
17.112075,0.00408198,0.03091612,0.06538478,0.10603214,0.15675195,0.22335608
17.116077,0.00409984,0.03106137,0.06569549,0.10653087,0.15747415,0.22435254
17.120080,0.00411795,0.03120864,0.06601051,0.10703645,0.15820610,0.22536210
17.124083,0.00413631,0.03135798,0.06632991,0.10754900,0.15894798,0.22638496
17.128085,0.00415494,0.03150941,0.06665378,0.10806862,0.15969993,0.22742133
17.132088,0.00417383,0.03166298,0.06698218,0.10859545,0.16046211,0.22847142
17.136091,0.00419299,0.03181872,0.06731520,0.10912960,0.16123469,0.22953542
17.140093,0.00421243,0.03197667,0.06765291,0.10967118,0.16201785,0.23061357
17.144096,0.00423214,0.03213687,0.06799539,0.11022034,0.16281176,0.23170608
17.148099,0.00425214,0.03229934,0.06834273,0.11077720,0.16361658,0.23281317
17.152101,0.00427242,0.03246415,0.06869501,0.11134188,0.16443252,0.23393508
17.156104,0.00429300,0.03263132,0.06905233,0.11191454,0.16525974,0.23507203
17.160107,0.00431388,0.03280090,0.06941476,0.11249529,0.16609845,0.23622428
17.164109,0.00433505,0.03297293,0.06978240,0.11308430,0.16694884,0.23739206
17.168112,0.00435654,0.03314746,0.07015535,0.11368170,0.16781110,0.23857562
17.172115,0.00437834,0.03332453,0.07053370,0.11428764,0.16868545,0.23977522
17.176117,0.00440046,0.03350419,0.07091755,0.11490228,0.16957208,0.24099113
17.180120,0.00442291,0.03368649,0.07130700,0.11552578,0.17047122,0.24222361
17.184123,0.00444569,0.03387147,0.07170216,0.11615829,0.17138308,0.24347292
17.188125,0.00446880,0.03405919,0.07210313,0.11679997,0.17230789,0.24473936
17.192128,0.00449226,0.03424969,0.07251002,0.11745101,0.17324587,0.24602321
17.196131,0.00451607,0.03444304,0.07292295,0.11811156,0.17419727,0.24732476
17.200133,0.00454024,0.03463928,0.07334202,0.11878182,0.17516232,0.24864430
17.204136,0.00456477,0.03483847,0.07376736,0.11946195,0.17614128,0.24998215
17.208139,0.00458967,0.03504067,0.07419908,0.12015215,0.17713438,0.25133862
17.212141,0.00461495,0.03524594,0.07463732,0.12085262,0.17814190,0.25271402
17.216144,0.00464061,0.03545434,0.07508219,0.12156354,0.17916410,0.25410868
17.220147,0.00466667,0.03566592,0.07553384,0.12228511,0.18020125,0.25552294
17.224149,0.00469312,0.03588076,0.07599239,0.12301755,0.18125363,0.25695713
17.228152,0.00471999,0.03609892,0.07645799,0.12376107,0.18232152,0.25841162
17.232155,0.00474727,0.03632046,0.07693077,0.12451589,0.18340522,0.25988675
17.236157,0.00477497,0.03654546,0.07741089,0.12528222,0.18450504,0.26138289
17.240160,0.00480311,0.03677399,0.07789848,0.12606031,0.18562127,0.26290041
17.244163,0.00483169,0.03700611,0.07839371,0.12685038,0.18675424,0.26443971
17.248165,0.00486071,0.03724192,0.07889674,0.12765268,0.18790427,0.26600117
17.252168,0.00489020,0.03748147,0.07940772,0.12846746,0.18907169,0.26758520
17.256171,0.00492016,0.03772485,0.07992683,0.12929497,0.19025685,0.26919220
17.260173,0.00495060,0.03797215,0.08045423,0.13013549,0.19146009,0.27082259
17.264176,0.00498153,0.03822345,0.08099011,0.13098927,0.19268177,0.27247681
