freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
1.000000,-694.797387,78.4232,-347.606506,156.9399,-155.479111,350.9842,-69.534586,784.8495
1.098196,-728.163959,82.1894,-364.280257,164.4679,-162.934705,367.8147,-72.868728,822.4826
1.196393,-760.067157,85.7903,-380.223524,171.6661,-170.063760,383.9081,-76.056849,858.4675
1.294589,-790.684140,89.2461,-395.524652,178.5744,-176.905757,399.3535,-79.116605,893.0035
1.392786,-820.158966,92.5730,-410.255497,185.2252,-183.492810,414.2233,-82.062355,926.2527
1.490982,-848.610656,95.7843,-424.475435,191.6453,-189.851457,428.5776,-84.905965,958.3491
1.589178,-876.138891,98.8915,-438.234204,197.8572,-196.003928,442.4664,-87.657377,989.4048
1.687375,-902.828149,101.9039,-451.573958,203.8799,-201.969068,455.9323,-90.325017,1019.5149
1.785571,-928.750759,104.8299,-464.530797,209.7298,-207.763011,469.0118,-92.916100,1048.7609
1.883768,-953.969223,107.6763,-477.135917,215.4208,-213.399703,481.7362,-95.436861,1077.2132
1.981964,-978.537981,110.4494,-489.416495,220.9653,-218.891291,494.1332,-97.892734,1104.9331
2.080160,-1002.504804,113.1546,-501.396378,226.3741,-224.248438,506.2266,-100.288485,1131.9744
2.178357,-1025.911879,115.7966,-513.096628,231.6566,-229.480557,518.0378,-102.628325,1158.3846
2.276553,-1048.796683,118.3796,-524.535958,236.8213,-234.596015,529.5856,-104.915995,1184.2059
2.374749,-1071.192690,120.9075,-535.731083,241.8758,-239.602285,540.8869,-107.154836,1209.4761
2.472946,-1093.129945,123.3836,-546.697005,246.8267,-244.506072,551.9569,-109.347847,1234.2290
2.571142,-1114.635534,125.8110,-557.447251,251.6803,-249.313424,562.8092,-111.497733,1258.4952
2.669339,-1135.733978,128.1924,-567.994066,256.4421,-254.029817,573.4561,-113.606943,1282.3022
2.767535,-1156.447562,130.5304,-578.348581,261.1170,-258.660225,583.9090,-115.677700,1305.6752
2.865731,-1176.796609,132.8272,-588.520945,265.7097,-263.209188,594.1780,-117.712035,1328.6371
2.963928,-1196.799713,135.0850,-598.520446,270.2244,-267.680856,604.2725,-119.711804,1351.2089
3.062124,-1216.473940,137.3057,-608.355609,274.6648,-272.079042,614.2011,-121.678712,1373.4097
3.160321,-1235.834997,139.4910,-618.034278,279.0346,-276.407253,623.9718,-123.614327,1395.2574
3.258517,-1254.897379,141.6426,-627.563694,283.3370,-280.668726,633.5918,-125.520096,1416.7682
3.356713,-1273.674497,143.7620,-636.950557,287.5751,-284.866457,643.0679,-127.397361,1437.9572
3.454910,-1292.178787,145.8506,-646.201078,291.7516,-289.003223,652.4064,-129.247361,1458.8385
3.553106,-1310.421806,147.9097,-655.321032,295.8691,-293.081605,661.6131,-131.071252,1479.4251
3.651303,-1328.414318,149.9406,-664.315796,299.9301,-297.104008,670.6934,-132.870110,1499.7291
3.749499,-1346.166369,151.9443,-673.190389,303.9369,-301.072675,679.6524,-134.644937,1519.7619
3.847695,-1363.687348,153.9219,-681.949500,307.8915,-304.989705,688.4949,-136.396671,1539.5340
3.945892,-1380.986051,155.8744,-690.597526,311.7960,-308.857061,697.2252,-138.126191,1559.0554
4.044088,-1398.070730,157.8028,-699.138588,315.6522,-312.676588,705.8475,-139.834322,1578.3354
4.142285,-1414.949135,159.7079,-707.576559,319.4618,-316.450017,714.3658,-141.521837,1597.3827
4.240481,-1431.628564,161.5905,-715.915085,323.2266,-320.178977,722.7837,-143.189466,1616.2055
4.338677,-1448.115892,163.4515,-724.157600,326.9479,-323.865006,731.1046,-144.837896,1634.8117
4.436874,-1464.417607,165.2915,-732.307348,330.6275,-327.509551,739.3320,-146.467775,1653.2084
4.535070,-1480.539840,167.1112,-740.367391,334.2665,-331.113984,747.4687,-148.079715,1671.4027
4.633267,-1496.488392,168.9114,-748.340628,337.8663,-334.679600,755.5179,-149.674296,1689.4010
4.731463,-1512.268758,170.6925,-756.229805,341.4281,-338.207627,763.4822,-151.252067,1707.2096
4.829659,-1527.886149,172.4553,-764.037525,344.9532,-341.699230,771.3643,-152.813548,1724.8343
4.927856,-1543.345514,174.2002,-771.766261,348.4426,-345.155513,779.1666,-154.359235,1742.2808
5.026052,-1558.651553,175.9279,-779.418362,351.8975,-348.577527,786.8916,-155.889596,1759.5542
5.124248,-1573.808741,177.6387,-786.996064,355.3187,-351.966272,794.5415,-157.405080,1776.6598
5.222445,-1588.821338,179.3332,-794.501495,358.7073,-355.322700,802.1184,-158.906111,1793.6022
5.320641,-1603.693403,181.0118,-801.936686,362.0642,-358.647718,809.6244,-160.393095,1810.3860
5.418838,-1618.428813,182.6750,-809.303571,365.3903,-361.942191,817.0615,-161.866419,1827.0157
5.517034,-1633.031264,184.3232,-816.603999,368.6863,-365.206947,824.4314,-163.326454,1843.4954
5.615230,-1647.504294,185.9568,-823.839738,371.9532,-368.442775,831.7361,-164.773552,1859.8290
5.713427,-1661.851283,187.5762,-831.012476,375.1916,-371.650431,838.9772,-166.208051,1876.0205
5.811623,-1676.075469,189.1817,-838.123831,378.4022,-374.830638,846.1563,-167.630275,1892.0734
5.909820,-1690.179951,190.7737,-845.175354,381.5859,-377.984089,853.2750,-169.040534,1907.9912
6.008016,-1704.167701,192.3525,-852.168528,384.7432,-381.111448,860.3348,-170.439124,1923.7774
6.106212,-1718.041572,193.9185,-859.104780,387.8749,-384.213352,867.3372,-171.826330,1939.4350
6.204409,-1731.804299,195.4719,-865.985476,390.9814,-387.290414,874.2835,-173.202427,1954.9673
6.302605,-1745.458513,197.0131,-872.811930,394.0635,-390.343219,881.1750,-174.567676,1970.3771
6.400802,-1759.006739,198.5423,-879.585407,397.1216,-393.372334,888.0130,-175.922331,1985.6673
6.498998,-1772.451409,200.0598,-886.307119,400.1564,-396.378301,894.7988,-177.266633,2000.8407
6.597194,-1785.794861,201.5659,-892.978237,403.1683,-399.361643,901.5335,-178.600818,2015.8999
6.695391,-1799.039348,203.0609,-899.599885,406.1579,-402.322863,908.2183,-179.925110,2030.8474
6.793587,-1812.187038,204.5449,-906.173148,409.1256,-405.262447,914.8542,-181.239725,2045.6857
6.891784,-1825.240025,206.0182,-912.699072,412.0720,-408.180861,921.4423,-182.544873,2060.4172
6.989980,-1838.200326,207.4810,-919.178665,414.9975,-411.078556,927.9837,-183.840756,2075.0440
7.088176,-1851.069887,208.9336,-925.612900,417.9024,-413.955968,934.4793,-185.127568,2089.5685
7.186373,-1863.850588,210.3762,-932.002715,420.7874,-416.813517,940.9300,-186.405497,2103.9927
7.284569,-1876.544245,211.8090,-938.349020,423.6526,-419.651608,947.3368,-187.674725,2118.3187
7.382766,-1889.152612,213.2321,-944.652690,426.4987,-422.470634,953.7006,-188.935426,2132.5485
7.480962,-1901.677386,214.6458,-950.914574,429.3258,-425.270974,960.0222,-190.187770,2146.6839
7.579158,-1914.120207,216.0502,-957.135491,432.1345,-428.052994,966.3024,-191.431922,2160.7269
7.677355,-1926.482664,217.4456,-963.316236,434.9250,-430.817049,972.5421,-192.668040,2174.6792
7.775551,-1938.766294,218.8321,-969.457576,437.6978,-433.563483,978.7420,-193.896278,2188.5425
7.873747,-1950.972586,220.2098,-975.560256,440.4530,-436.292629,984.9028,-195.116784,2202.3186
7.971944,-1963.102982,221.5790,-981.624998,443.1912,-439.004809,991.0254,-196.329703,2216.0091
8.070140,-1975.158882,222.9398,-987.652498,445.9125,-441.700336,997.1104,-197.535175,2229.6154
8.168337,-1987.141639,224.2923,-993.643437,448.6174,-444.379513,1003.1585,-198.733334,2243.1393
8.266533,-1999.052571,225.6367,-999.598470,451.3060,-447.042633,1009.1703,-199.924313,2256.5821
8.364729,-2010.892954,226.9732,-1005.518236,453.9787,-449.689982,1015.1465,-201.108239,2269.9453
8.462926,-2022.664025,228.3018,-1011.403354,456.6357,-452.321837,1021.0878,-202.285236,2283.2302
8.561122,-2034.366989,229.6227,-1017.254426,459.2774,-454.938467,1026.9946,-203.455424,2296.4384
8.659319,-2046.003014,230.9361,-1023.072035,461.9040,-457.540133,1032.8677,-204.618920,2309.5710
8.757515,-2057.573236,232.2420,-1028.856749,464.5157,-460.127088,1038.7076,-205.775838,2322.6293
8.855711,-2069.078759,233.5407,-1034.609120,467.1129,-462.699581,1044.5149,-206.926287,2335.6146
8.953908,-2080.520655,234.8322,-1040.329685,469.6956,-465.257849,1050.2900,-208.070375,2348.5282
9.052104,-2091.899970,236.1166,-1046.018965,472.2643,-467.802128,1056.0335,-209.208207,2361.3711
9.150301,-2103.217719,237.3940,-1051.677468,474.8190,-470.332643,1061.7460,-210.339884,2374.1445
9.248497,-2114.474890,238.6646,-1057.305688,477.3601,-472.849616,1067.4279,-211.465505,2386.8496
9.346693,-2125.672446,239.9285,-1062.904107,479.8877,-475.353262,1073.0797,-212.585165,2399.4874
9.444890,-2136.811324,241.1858,-1068.473192,482.4020,-477.843790,1078.7019,-213.698960,2412.0590
9.543086,-2147.892438,242.4365,-1074.013400,484.9034,-480.321405,1084.2950,-214.806979,2424.5654
9.641283,-2158.916675,243.6809,-1079.525176,487.3919,-482.786305,1089.8594,-215.909312,2437.0077
9.739479,-2169.884905,244.9189,-1085.008953,489.8677,-485.238685,1095.3955,-217.006046,2449.3867
9.837675,-2180.797970,246.1506,-1090.465153,492.3311,-487.678732,1100.9037,-218.097265,2461.7035
9.935872,-2191.656696,247.3763,-1095.894188,494.7823,-490.106631,1106.3845,-219.183051,2473.9589
10.034068,-2202.461887,248.5959,-1101.296460,497.2213,-492.522562,1111.8383,-220.263485,2486.1540
10.132265,-2213.214325,249.8095,-1106.672361,499.6485,-494.926700,1117.2655,-221.338644,2498.2895
10.230461,-2223.914777,251.0173,-1112.022273,502.0639,-497.319216,1122.6665,-222.408607,2510.3664
10.328657,-2234.563990,252.2193,-1117.346570,504.4678,-499.700277,1128.0416,-223.473446,2522.3854
10.426854,-2245.162692,253.4156,-1122.645616,506.8602,-502.070046,1133.3912,-224.533236,2534.3475
10.525050,-2255.711595,254.6063,-1127.919767,509.2414,-504.428683,1138.7157,-225.588047,2546.2533
10.623246,-2266.211395,255.7914,-1133.169371,511.6116,-506.776341,1144.0153,-226.637949,2558.1037
10.721443,-2276.662771,256.9711,-1138.394767,513.9707,-509.113175,1149.2906,-227.683009,2569.8995
10.819639,-2287.066388,258.1453,-1143.596287,516.3192,-511.439331,1154.5417,-228.723295,2581.6414
10.917836,-2297.422893,259.3143,-1148.774255,518.6570,-513.754954,1159.7691,-229.758870,2593.3301
11.016032,-2307.732922,260.4780,-1153.928988,520.9843,-516.060188,1164.9730,-230.789799,2604.9664
11.114228,-2317.997093,261.6366,-1159.060797,523.3012,-518.355170,1170.1538,-231.816143,2616.5510
11.212425,-2328.216015,262.7900,-1164.169985,525.6079,-520.640035,1175.3117,-232.837963,2628.0844
11.310621,-2338.390280,263.9384,-1169.256848,527.9046,-522.914917,1180.4472,-233.855318,2639.5675
11.408818,-2348.520468,265.0818,-1174.321675,530.1913,-525.179945,1185.5603,-234.868267,2651.0008
11.507014,-2358.607147,266.2203,-1179.364752,532.4682,-527.435247,1190.6515,-235.876866,2662.3851
11.605210,-2368.650874,267.3539,-1184.386356,534.7354,-529.680945,1195.7210,-236.881170,2673.7208
11.703407,-2378.652192,268.4828,-1189.386759,536.9930,-531.917163,1200.7691,-237.881234,2685.0087
