freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
1.000000,0.02660066,0.02986356,0.03132013,0.03215236,0.03265860
1.024756,0.02665521,0.02971390,0.03108627,0.03187095,0.03234833
1.049512,0.02675347,0.02960164,0.03088869,0.03162549,0.03207391
1.074269,0.02689648,0.02952619,0.03072634,0.03141472,0.03183396
1.099025,0.02708567,0.02948717,0.03059839,0.03123758,0.03162730
1.123781,0.02732293,0.02948444,0.03050420,0.03109321,0.03145293
1.148537,0.02761060,0.02951810,0.03044330,0.03098090,0.03131003
1.173293,0.02795156,0.02958846,0.03041544,0.03090012,0.03119793
1.198050,0.02834930,0.02969606,0.03042052,0.03085052,0.03111613
1.222806,0.02880802,0.02984170,0.03045862,0.03083187,0.03106425
1.247562,0.02933269,0.03002643,0.03053001,0.03084413,0.03104208
1.272318,0.02992927,0.03025157,0.03063515,0.03088739,0.03104955
1.297074,0.03060481,0.03051873,0.03077469,0.03096191,0.03108671
1.321830,0.03136774,0.03082987,0.03094946,0.03106811,0.03115377
1.346587,0.03222810,0.03118728,0.03116051,0.03120657,0.03125107
1.371343,0.03319795,0.03159367,0.03140915,0.03137804,0.03137913
1.396099,0.03429182,0.03205219,0.03169689,0.03158345,0.03153858
1.420855,0.03552735,0.03256653,0.03202553,0.03182393,0.03173024
1.445611,0.03692607,0.03314095,0.03239717,0.03210084,0.03195510
1.470368,0.03851457,0.03378039,0.03281425,0.03241572,0.03221434
1.495124,0.04032594,0.03449062,0.03327956,0.03277040,0.03250931
1.519880,0.04240184,0.03527832,0.03379632,0.03316697,0.03284161
1.544636,0.04479544,0.03615129,0.03436823,0.03360783,0.03321307
1.569392,0.04757554,0.03711864,0.03499952,0.03409573,0.03362578
1.594149,0.05083269,0.03819109,0.03569508,0.03463379,0.03408212
1.618905,0.05468828,0.03938126,0.03646051,0.03522560,0.03458481
1.643661,0.05930865,0.04070413,0.03730226,0.03587522,0.03513694
1.668417,0.06492740,0.04217754,0.03822780,0.03658732,0.03574201
1.693173,0.07188211,0.04382294,0.03924576,0.03736720,0.03640402
1.717929,0.08067687,0.04566627,0.04036619,0.03822098,0.03712748
1.742686,0.09209319,0.04773916,0.04160084,0.03915565,0.03791759
1.767442,0.10739325,0.05008054,0.04296348,0.04017928,0.03878023
1.792198,0.12869791,0.05273880,0.04447037,0.04130118,0.03972217
1.816954,0.15963259,0.05577480,0.04614078,0.04253217,0.04075115
1.841710,0.20579692,0.05926597,0.04799774,0.04388486,0.04187610
