freq_MHz,h2_opt_um,h2_opt_over_lambda,T_max,T_at_1um,T_at_5um,T_at_20um,T_at_50um
1.000000,0.1000,0.000067,1.66117466,0.28175891,0.06002351,0.01504966,0.00459733
1.158317,0.1000,0.000077,1.64047419,0.27744258,0.05908927,0.01477737,0.00421280
1.316633,0.1000,0.000088,1.62280318,0.28626858,0.06109979,0.01524188,0.00405000
1.474950,0.1000,0.000098,1.60741555,0.31061114,0.06665479,0.01659052,0.00410826
1.633267,0.1000,0.000109,1.59286557,0.35756084,0.07761417,0.01929145,0.00445499
1.791583,0.1000,0.000119,1.57729423,0.44413143,0.09894700,0.02462088,0.00530981
1.949900,0.1000,0.000130,1.55881581,0.61149767,0.14653647,0.03683421,0.00743614
2.108216,0.1000,0.000141,1.53595888,0.92443720,0.29300904,0.07874372,0.01494540
2.266533,0.1000,0.000151,1.50805109,1.01918144,0.38553548,0.10400482,0.01800148
2.424850,0.1000,0.000162,1.47540986,0.66674499,0.16587507,0.03998347,0.00654305
2.583166,0.1000,0.000172,1.43925770,0.44836795,0.10042398,0.02385176,0.00367918
2.741483,0.1000,0.000183,1.40140109,0.33663901,0.07295499,0.01719685,0.00249981
2.899800,0.1000,0.000193,1.36380980,0.27451096,0.05869548,0.01374386,0.00188435
3.058116,0.1000,0.000204,1.32824432,0.23803436,0.05057740,0.01176467,0.00152305
3.216433,0.1000,0.000214,1.29601505,0.21683486,0.04593823,0.01061345,0.00129895
3.374749,0.1000,0.000225,1.26787861,0.20616423,0.04363562,0.01001212,0.00115981
3.533066,0.1000,0.000236,1.24403258,0.20403946,0.04320977,0.00984568,0.00108079
3.691383,0.1000,0.000246,1.22416426,0.21026745,0.04462441,0.01009833,0.00105166
3.849699,0.1000,0.000257,1.20752724,0.22641378,0.04826344,0.01085045,0.00107322
4.008016,0.1000,0.000267,1.19304121,0.25672593,0.05519163,0.01233685,0.00116018
4.166333,0.1000,0.000278,1.17942529,0.31104441,0.06805938,0.01515549,0.00135653
4.324649,0.1000,0.000288,1.16537419,0.41347226,0.09455889,0.02109425,0.00179892
4.482966,0.1000,0.000299,1.14976827,0.62475143,0.16713753,0.03828668,0.00311358
4.641283,0.1000,0.000309,1.13187952,0.91942121,0.49328746,0.14414475,0.01098086
4.799599,0.1000,0.000320,1.11151348,0.68075053,0.19245357,0.03996029,0.00294641
4.957916,0.1000,0.000331,1.08903438,0.42319479,0.09686062,0.01987204,0.00140396
5.116232,0.1000,0.000341,1.06526109,0.29914666,0.06507704,0.01326642,0.00089721
5.274549,0.1000,0.000352,1.04127277,0.23384088,0.04996199,0.01010947,0.00065472
5.432866,0.1000,0.000362,1.01819168,0.19609285,0.04156875,0.00834175,0.00051765
5.591182,0.1000,0.000373,0.99700245,0.17337119,0.03661619,0.00728353,0.00043335
5.749499,0.1000,0.000383,0.97843607,0.16006284,0.03375175,0.00665290,0.00037975
5.907816,0.1000,0.000394,0.96291606,0.15352864,0.03236590,0.00632095,0.00034635
6.066132,0.1000,0.000404,0.95054820,0.15267594,0.03221380,0.00623319,0.00032807
6.224449,0.1000,0.000415,0.94113484,0.15747194,0.03329464,0.00638378,0.00032292
6.382766,0.1000,0.000426,0.93420307,0.16895834,0.03585872,0.00681541,0.00033152
6.541082,0.1000,0.000436,0.92904691,0.18979617,0.04055430,0.00764640,0.00035784
6.699399,0.1000,0.000447,0.92479186,0.22589590,0.04889735,0.00916049,0.00041266
6.857715,0.1000,0.000457,0.92049124,0.29115582,0.06488278,0.01212371,0.00052591
7.016032,0.1000,0.000468,0.91525551,0.42210964,0.10262336,0.01936806,0.00080916
7.174349,0.1000,0.000478,0.90839815,0.68917282,0.25863008,0.05415623,0.00217299
7.332665,0.1000,0.000489,0.89956324,0.71094746,0.27081371,0.04631800,0.00180154
7.490982,0.1000,0.000499,0.88879322,0.42796831,0.10203770,0.01724081,0.00064742
7.649299,0.1000,0.000510,0.87651078,0.28566981,0.06261731,0.01055940,0.00038273
7.807615,0.1000,0.000521,0.86342048,0.21532545,0.04603006,0.00771492,0.00027003
7.965932,0.1000,0.000531,0.85036474,0.17618655,0.03729162,0.00620030,0.00020965
8.124248,0.1000,0.000542,0.83817852,0.15289977,0.03221929,0.00530899,0.00017349
8.282565,0.1000,0.000552,0.82757499,0.13894542,0.02922239,0.00476965,0.00015069
8.440882,0.1000,0.000563,0.81907365,0.13128959,0.02759847,0.00446089,0.00013631
8.599198,0.1000,0.000573,0.81296556,0.12853722,0.02703433,0.00432697,0.00012792
8.757515,0.1000,0.000584,0.80930328,0.13025495,0.02743720,0.00434883,0.00012443
8.915832,0.1000,0.000594,0.80790491,0.13679086,0.02889280,0.00453622,0.00012565
9.074148,0.1000,0.000605,0.80836841,0.14943965,0.03170981,0.00493386,0.00013235
9.232465,0.1000,0.000615,0.81009963,0.17110335,0.03659769,0.00564871,0.00014678
9.390782,0.1000,0.000626,0.81236272,0.20812957,0.04520560,0.00693478,0.00017461
9.549098,0.1000,0.000637,0.81436131,0.27573132,0.06204774,0.00950509,0.00023193
9.707415,0.1000,0.000647,0.81535021,0.41487225,0.10461777,0.01627068,0.00038469
9.865731,0.1000,0.000658,0.81476180,0.68157070,0.32529574,0.05983681,0.00136649
10.024048,0.1000,0.000668,0.81231592,0.60134018,0.19173820,0.02615146,0.00058374
